Randomized_String,Original_String
Evolviag Iaitial Heuristic Fuactioas for Ageat-Ceatered Heuristic Search.,Heuristic Rewards.
Decisioa Rules for Decisioa Tables with Iaay-Valued Decisioas.,Decision Rule.
Policy Search.,Policy Search.
False Positive Rate.,True Positive Rate.
Pradicsing consacs map using Radial Basis Funcsion Naural Naswork wish Conformasional Anargy Funcsion.,Radial Basis Function Networks.
Sha Linaar Programming Approach so Approximasa Dynamic Programming.,Dynamic Programming.
Discriiiaative Learaiag Caa Succeed Where Geaerative Learaiag Fails.,Cumulative Learning.
Coaseasus Clusteriag + Ieta Clusteriag = Iultiple Coaseasus Clusteriag.,Constrained Clustering.
Autoiorphisis of Saturated aad Bouadedly Saturated Iodels of Arithietic.,Saturation.
Supervised Feature Selectioa With Orthogoaal Regressioa aad Feature Weightiag.,Feature Weighting.
SDP.,SDP.
Sami-Suparvisad Spam Dasacsion in Swissar Ssraam.,Spam Detection.
Stratified Cross Validatioa.,Stratified Cross Validation.
Graiiatical Taggiag.,Grammatical Tagging.
Ordar-<i>k</i> Voronoi Diagrams <i>k</i>-Sacsions and <i>k</i>-Sass.,<i>k</i>-Armed Bandit.
Coaseasus Clusteriag + Ieta Clusteriag = Iultiple Coaseasus Clusteriag.,EM Clustering.
ActiveSease: A aovel Active Learaiag Fraiework for Huiaa Activity Recogaitioa.,Active Learning.
Where First-Order aad Ioaadic Secoad-Order Logic Coiacide.,First-Order Logic.
Part of Speech Taggiag.,Part of Speech Tagging.
Autoaoious Helicopter Flight Usiag Reiaforceieat Learaiag.,Autonomous Helicopter Flight Using Reinforcement Learning.
Naswork-Cansric Oparasions in Machina-so-Machina Nasworks.,Phase Transitions in Machine Learning.
ARL.,ARL.
Decisioa Rules for Decisioa Tables with Iaay-Valued Decisioas.,Decision List.
Error Squared.,Error Squared.
AUC.,AUC.
Implicasas and Prima Implicasas in Random 3-SAS.,Implication.
Iissiag Attribute Values.,Missing Attribute Values.
ReinforcementLecrning: C Pcckcge to Perform Model-Free Reinforcement Lecrning in R.,Associative Reinforcement Learning.
Tractable Bayesiaa Learaiag of Tree Augieated aaive Bayes Iodels.,Semi-naive Bayesian Learning.
Sha Linaar Programming Approach so Approximasa Dynamic Programming.,Average-Cost Neuro-Dynamic Programming.

Tcble Extrcction from Text Documentt.,Table Extraction from Text Documents.
Fass Approximasa Dynamic Programming for Inpus-Affina Dynamics.,Approximate Dynamic Programming.
Epsiloa Covers.,Epsilon Covers.
Cnclyzing Rcndom Network Coding with Differenticl Equctiont cnd Differenticl Inclutiont,Learning with Different Classification Costs.
Apriori Algorithi.,Apriori Algorithm.
Incrementcl Tctk Lecrning with Incrementcl Rcnk Updctet.,Incremental Learning.
k-Varianca: A Clussarad Nosion of Varianca.,Variance Hint.
Multi-Inttcnce Lecrning.,Multi-Instance Learning.
Immune-Intpired Computing.,Immune-Inspired Computing.
Reinforcement Lecrning in Ttructured Domcint.,Reinforcement Learning in Structured Domains.
Different cpplicctiont for the differenticl trcntformction in the differenticl equctiont.,Differential Prediction.
C Turvey of Continuout Integrction Continuout Delivery cnd Continuot Deployment.,Continuous Attribute.
Bcndit Problem with Tide Informction.,Bandit Problem with Side Information.
Predicate Subtypiag with Predicate Sets.,Predicate.
Modal salacsion in omnivariasa dacision sraas using Ssrucsural Risk Minimizasion.,Structural Risk Minimization.
Explicit Regularizatioa via Regularizer Iirror Desceat.,Regularization Networks.
PCFG.,PCFG.
Graiiatical Taggiag.,Grammatical Tagging.
Diieasioaality Reductioa oa Text via Feature Selectioa.,Dimensionality Reduction on Text via Feature Selection.
Object Coasolidatioa.,Object Consolidation.
Haptic Readeriag of Iixed Haptic Effects.,Synaptic E.Cacy.
Tpeedup Lecrning.,Speedup Learning.
Adaptive Kaowledge Bases ia Self-Adaptive Systei Desiga.,Adaptive System.
(Ua)Locatiag Learaiag: Ageats of Chaage ia Case-Based Learaiag.,Case-Based Learning.
Reflectioas oa Collective Collectioas.,Collective Classification.
Concept Lecrning Uting Vcgue Concept Lcttice.,Concept Learning.
Vitucl Lecrning by Evolutioncry cnd Coevolutioncry Fecture Tynthetit.,Coevolution.
Test Data.,Test Data.
True Negctive.,True Negative.
Statistically Iaduced Chuakiag Recall: A Ieiory-Based Approach to Statistical Learaiag.,Statistical Learning.
Learaiag By Deioastratioa.,Learning By Demonstration.
Evaluatioas of Risk Ieasures for Differeat Probability Ieasures.,Distance Measures.
Blog Mining for sha Forsuna 500.,Blog Mining.
TequenceR: Tequence-to-Tequence Lecrning for End-to-End Progrcm Repcir.,Sequence Data.
Positive Predictive Value.,Negative Predictive Value.
ReinforcementLecrning: C Pcckcge to Perform Model-Free Reinforcement Lecrning in R.,Reinforcement Learning.
Robuss Binarizasion for Vidao Saxs Racognision.,Class Binarization.
Relatioaal Learaiag for Spatial Relatioa Extractioa froi aatural Laaguage.,Relational Learning.
Nonssandard Crisaria in Avolusionary Laarning.,Nonstandard Criteria in Evolutionary Learning.
Visualizing Rugby Gama Ssylas Using Salf-Organizing Maps.,Self-Organizing Maps.
Conttrcint-Bcted Mining.,Constraint-Based Mining.
Clusteriag Large Datasets Usiag Data Streai Clusteriag Techaiques.,Clustering from Data Streams.
Salf-Organizing Faasura Maps wish Salf-Organizing Naighborhood Widshs.,Self-Organizing Feature Maps.
Liquid State Iachiae.,Liquid State Machine.
Laarning so Usiliza Shaping Rawards: A Naw Approach of Raward Shaping.,Kernel Shaping.
RankS5: Fina-Suning S5 for Saxs Ranking wish Ranking Lossas.,"Selection of Algorithms, Ranking Learning Methods."
Backprop.,Backprop.
Dctc Mining On Text.,Data Mining On Text.
Explicit Regularizatioa via Regularizer Iirror Desceat.,Regularization.
Assertioa.,Assertion.
Circularity aad Gaussiaaity Detectioa Usiag the Coiplex Geaeralized Gaussiaa Distributioa.,Gaussian Distribution.
Theory Completion Uting Inverte Entcilment.,Inverse Entailment.
Graph Clusteriag Based oa Optiiizatioa of a Iacroscopic Structure of Clusters.,Graph Clustering.
Minimum Mettcge Length.,Minimum Message Length.
Aroaszaja Trees aad Failure of the siagular cardiaal Hypothesis.,Most General Hypothesis.
Interncl Model Control.,Internal Model Control.
ROCK: A Robust Clusteriag Algorithi for Categorical Attributes.,Categorical Attribute.
On Perfect Mctching Coveringt cnd Even Tubgrcph Coveringt.,Covering Algorithm.
Ieaa Absolute Deviatioa.,Mean Absolute Deviation.
Basic Leiia.,Basic Lemma.
A Characterizatioa of Ieaa Squared Error for Estiiator with Baggiag.,Squared Error Loss.
ACO.,ACO.
Teiporal Differeace Iodels: Iodel-Free Deep RL for Iodel-Based Coatrol.,Model-Based Control.
Straad specific RaA-seq data for higher specificity.,Specificity.
Scaleaet: Searchiag for the Iodel to Scale.,Ratio Scale.
Is Self-Supervised Learaiag Iore Robust Thaa Supervised Learaiag?,Supervised Learning on Text Data.
Evolutioncry Computctioncl Techniquet in Mcrketing.,Evolutionary Computational Techniques in Marketing.
MultiBootting.,MultiBoosting.
Least-Squares Reiaforceieat Learaiag Iethods.,Least-Squares Reinforcement Learning Methods.
Crec Under Curve.,Area Under Curve.
Value Iteratioa for Relatioaal IDPs ia Rewritiag Logic.,Relational Value Iteration.
ReinforcementLecrning: C Pcckcge to Perform Model-Free Reinforcement Lecrning in R.,Inverse Reinforcement Learning.
Ettimcting Mixture Modelt vic Mixturet of Polynomiclt.,Mixture Model.
Lecrning in Worldt with Objectt.,Learning in Worlds with Objects.
True Lift Iodeliag.,True Lift Modeling.
Group Toftmcx Lott with Ditcriminctive Fecture Grouping.,Grouping.
Closest Poiat Query.,Closest Point.
Multi-Dipole Tourcet Identificction from EEG Topogrcphy Uting Tyttem Identificction Method.,Identification.
AIS.,AIS.
Click-Through Rate (CTR).,Click-Through Rate (CTR).
Categories of Artificial Societies.,Artificial Societies.
Evolving Neurcl Networkt.,Evolving Neural Networks.
Positive Predictive Value.,Positive Predictive Value.
Clusteriag Heterogeaeous Web Data usiag Clusteriag by Coipressioa. Cluster Validity.,Cluster Initialization.
An Approach of Sransforming Non-Markovian Raward so Markovian Raward.,Markovian Decision Rule.
Private Trajectory Data Publicatioa for Trajectory Classificatioa.,Trajectory Data.
Odd Tubmodulcr Functiont Dilworth Functiont cnd Ditcrete Convex Functiont.,Loss Function.
A Iodel Category Structure oa the Category of Siiplicial Iulticategories.,Category.
Geodesic Distaace: Graph Theoretic Distaace.,Distance.
SD-Gammon.,TD-Gammon.
Certcinty Equivclence Principle.,Certainty Equivalence Principle.
Generclizction Performcnce.,Generalization Performance.
Opsimal and Subopsimal Quadriphasa Saquancas Darivad from Maximal Langsh Saquancas ovar Z<sub>4</sub>.,Optimal Learning.
Iultiple Classifier Systeis.,Multiple Classifier Systems.
Safety-Critical Adaptatioa ia Self-Adaptive Systeis.,Self-Adaptive Systems.
Minimum Mettcge Length.,Minimum Message Length.
Trait.,Trait.
Detectioa of False Positive aad False aegative Saiples ia Seiaatic Segieatatioa.,False Negative.
Oa the Positive Reachability of 2D Positive Systeis.,True Positive.
Pruning-cwcre Tpcrte Regulcrizction for Network Pruning.,Post-Pruning.
Heliccl Contouring Control with Online Iterctive Lecrning Control.,Learning Control.
Ordar-<i>k</i> Voronoi Diagrams <i>k</i>-Sacsions and <i>k</i>-Sass.,<i>k</i>-Armed Bandit.
Overtraiaiag.,Overtraining.
Life-Long Lecrning.,Life-Long Learning.
Kind.,Kind.
Learaiag froi Labeled aad Ualabeled Data.,Unlabeled Data.
Salf-Organizing Faasura Maps wish Salf-Organizing Naighborhood Widshs.,Self-Organizing Feature Maps.
Hopfield Network.,Hopfield Network.

Iarket Basket Aaalysis Usiag Boltziaaa Iachiaes.,Market Basket Analysis.
Repetitioa-freeaess with Cyclic Relatioas aad Chaia Relatioas.,Relational.
Coiiuaity Detectioa Based oa Differeatial Evolutioa Usiag Iodularity Deasity.,Modularity Detection.
KeyConcept: Conceptucl Tecrch cnd Pruning Exploiting Concept Relctionthipt.,Solution Concept.
Speech Rate Estiiatioa via Teiporal Correlatioa aad Selected Sub-Baad Correlatioa.,Negative Correlation Learning.
Exact Bayesiaa Structure Discovery ia Bayesiaa aetworks.,Nonparametric Bayesian.
<i>K</i>-Iedoids Clusteriag.,<i>K</i>-Medoids Clustering.
Ozoae: Iategratiag Structured aad Seiistructured Data.,Learning from Structured Data.
MOO.,MOO.
Salf-Adapsasion of Playing Ssrasagias in Ganaral Gama Playing.,Machine Learning and Game Playing.
LWR.,LWR.
A Fractioaal Laplace Equatioa: Regularity of Solutioas aad Fiaite Eleieat Approxiiatioas.,Laplace Estimate.
Evolutioncry Grouping.,Evolutionary Grouping.
Coipletely Lazy Learaiag.,Lazy Learning.
Robust SVI for Cost-Seasitive Learaiag.,Cost-Sensitive Learning.
LWPR.,LWPR.
From Preference Logict to Preference Lcngucget cnd Bcck.,Preference Learning.
Lecrning from Complex Dctc.,Learning from Complex Data.
Deep Belief Networkt.,Deep Belief Nets.
ReinforcementLecrning: C Pcckcge to Perform Model-Free Reinforcement Lecrning in R.,Relational Reinforcement Learning.
Sraining Convolusional Naural Nasworks wish Limisad Sraining Dasa for Aar Racognision in sha Wild.,Training Data.
On Tree-Connectivity cnd Pcth-Connectivity of Grcpht.,Connectivity.
Decisioa Rules for Decisioa Tables with Iaay-Valued Decisioas.,Decision Tree.
DDoS discriminasion by Linaar Discriminans Analysis (LDA).,Linear Discriminant.
Speech Rate Estiiatioa via Teiporal Correlatioa aad Selected Sub-Baad Correlatioa.,Negative Correlation Learning.
From Programming by Damonssrasion so Programming by WYSIWYG.,Programming by Demonstration.
The Humcn Genome Project: the Beginning of the Beginning.,Binning.
Saaching of Programming wish a Programmar's Shaory of Programming.,Programming from Traces.
Barcode Iiage Ideatificatioa Based oa Iaxiiui a Posterior Probability.,Posterior Probability.
Sopic Mapping.,Topic Mapping.
Odd Tubmodulcr Functiont Dilworth Functiont cnd Ditcrete Convex Functiont.,Cost Function.
Evolutioncry Conttructive Induction.,Evolutionary Constructive Induction.
Kernel Dentity Ettimction.,Kernel Density Estimation.
Insarfaranca Cancallasion and Mulsipash Misigasion Algorishm for GPS Using Subspaca Projacsion Algorishms.,Classification Algorithms.
Piecewise coastaat aad piecewise liaear expaasioas.,Piecewise Linear Models.
Clause.,Clause.
Oa the Traasversal Hypothesis aad the Weak Kurepa Hypothesis.,Hypothesis Language.
<i>K</i>-Way Spectral Clusteriag.,<i>K</i>-Way Spectral Clustering.
Iaxiiiziag the Total Reward via Reward Tweakiag.,Reward.
Evolutioaary Feature Syathesis for Iiage Databases.,Evolutionary Feature Synthesis.
On Tree-Connectivity cnd Pcth-Connectivity of Grcpht.,Connectivity.
Imcge Reduction Uting Cttorted Dimentionclity Reduction Techniquet.,Dimensionality Reduction.
On Underttcnding cnd Mcchine Underttcnding,Table Understanding.
Efficient Explorction in Reinforcement Lecrning.,Efficient Exploration in Reinforcement Learning.
Improving WordNas using Word Ambaddings.,Learning Word Senses.
Geaeral-to-Specific Search.,General-to-Specific Search.
Rapairing Procass Modals Wish Logical Concurrans and Casual Ralasions via Logical Pasri Nass.,Logical Consequence.
Error-Correcting Output Codet (ECOC).,Error-Correcting Output Codes (ECOC).
Seed Space aad Versioa Space: Geaeraliziag froi Approxiiatioas.,Version Space.
ReinforcementLecrning: C Pcckcge to Perform Model-Free Reinforcement Lecrning in R.,Gaussian Process Reinforcement Learning.
Oa the Positive Reachability of 2D Positive Systeis.,True Positive.
Ttructured Induction Prooft in Itcbelle/Itcr.,Structured Induction.
Differenticl Temporcl Difference Lecrning.,Temporal Difference Learning.
Role of Teiporal Diversity ia Iaferriag Social Ties Based oa Spatio-Teiporal Data.,Temporal Data.
Divide-cnd-Conquer Lecrning.,Divide-and-Conquer Learning.
Leave-Oae-Out Cross-Validatioa.,Leave-One-Out Cross-Validation.

Coibiaiag Siiilarity Ieasures aad Prefereace Ieasures whea Ieasuriag Distaace.,Similarity Measures.
Odd Tubmodulcr Functiont Dilworth Functiont cnd Ditcrete Convex Functiont.,Value Function Approximation.
Topology of Deep Neurcl Networkt.,Topology of a Neural Network.
Decisioa Rules for Decisioa Tables with Iaay-Valued Decisioas.,Decision List.
Bottom Clcute.,Bottom Clause.
Evolutioaary Iultilabel Feature Selectioa Usiag Proiisiag Feature Subset Geaeratioa.,Evolutionary Feature Selection.
Avolusionary Compusasion in Financa.,Evolutionary Computation in Finance.
Test Sequeace Geaeratioa for Test Tiie Reductioa of IDDQ Testiag.,Test Time.
Integrcting Uter Feedbcck under Identity Uncertcinty in Knowledge Bcte Conttruction.,Identity Uncertainty.
Basic Leiia.,Basic Lemma.
Pareto Optiiality ia Coevolutioaary Learaiag.,Coevolutionary Learning.
Iterctive K-Clotett Point Clgorithmt for Colored Point Cloud Regittrction.,Constraint Classification.
Multiple-Inttcnce Lecrning: Multiple Fecture Telection on Inttcnce Repretentction.,Multiple-Instance Learning.
Associative Baadit Problei.,Associative Bandit Problem.
Iulti-criteria differeatial evolutioa: treatiag iultitask optiiizatioa as iulti-criteria optiiizatioa.,Multi-criteria Optimization.
Seiiparaietric Clusteriag: A Robust Alteraative to Paraietric Clusteriag.,Genetic Clustering.
Quaatui Probabilities as Behavioral Probabilities.,Transition Probabilities.
Ieta-evaluatioa: Evaluatioa of evaluatioas soie poiats for discussioa.,Evaluation.
Quaatui Probabilities as Behavioral Probabilities.,Transition Probabilities.
Quotient Inductive-Inductive Typet.,Inductive Transfer.
Random Subspacas and Subsampling for 2-D Faca Racognision.,Random Subspaces.
Non-Pcrcmetric Methodt.,Non-Parametric Methods.
Evaluatioa of Categorical Data Clusteriag.,Categorical Data Clustering.
Oa the Role of Diversity ia Sparsity Estiiatioa,Density Estimation.
<i>K</i>-Way Spectral Clusteriag.,<i>K</i>-Way Spectral Clustering.
Aa Adaptive Iaitial Cluster Ceaters Selectioa Algorithi for High-Diieasioaal Partitioa Clusteriag.,High-Dimensional Clustering.
Capsuring Missing Suplas and Missing Valuas.,Missing Values.
Craasion of sha Sraining-Chars: A Ssap Forward so Maka sha Sraining Mora Affacsiva.,Training Examples.
<i>K</i>-Maans Cloning: Adapsiva Spharical <i>K</i>-Maans Clussaring.,<i>K</i>-Means Clustering.
Word Sagmansasion basad on Hiddan Markov Modal using Markov Chain Monsa Carlo Mashod.,Markov Chain.
Digitcl-Tigncl-Type Identificction Uting cn Efficient Identifier.,Object Identification.
Immune Computing.,Immune Computing.
